2. What Is Your Location Called?,"3. What Kind Of Location Do You Want ? You Can Combine By Clicking 3 Elements, (Or More For Higher Pledges)",4. Describe Your Location,5. What Terrain Do You Want Your Location To Appear In,"5.B. If Other, Add Details",7. Which Biomes Would Suit Your Location,"9. Style Of Your Location (If Applicable, Choose Up To 2)","9.B. Using The Key Ideas Of The Styles Given, You Can Add Some Flourish?","9.C. If Other, Add Details",10. What Text Do You Want To Appear In The Document For This Location? (2 Paragraph Maximum),11. Which Map Do You Want This To Appear On?,12. Will Your Location Be Hidden On The Player Maps?,Anything To Add?
Dumrill,Fields | Ruins,"It used to be a very high tower, nobody knows what it was for, but for some strange reason only cats can enter the ruins",Forest - Boreal or Temperate,No response,"Cooler Temperate Zone (minus winters, 20.c summers",European (Grey stone) | Abandoned/Ruins,No response,No response,"The tower must once have been very high. But now remains only one towering wall. If you put your head in your neck and look up, you can almost make out the top of the wall...but it might just be imagination. For some reason you're not able to set foot on the rubble, when you try you feel a hard push and end up about 10 feet away from the tower. You can almost touch the wall, almost. Funny enough cats can enter the premise without a problem. They actually seem to like it here. There are all sorts of cats and they seem to be able to get along, no fighting, no hissing, just sleeping, purring and eyeing those strangers who try to get too close.","The Original Map, Sepia and Coloured","Yes, My place is public Knowledge, anyone can find it",No response
Citadel of Krimlaxia,Village size+1 | Monolith/statue/totem | Temple,Monastic citadel,Taiga / Steppe | Desert | Hills/Cliffs | Mountains,No response,"Cooler Temperate Zone (minus winters, 20.c summers | Mid Range (o.c winters, 30.c summers) | Warmer climates (10.c winters, 40.c summers)",European (Grey stone),Immaculately neat and well kept,No response,"The monastic citadel of Krimlaxia, is a well maintained area , the devotes of the paladin Krimlax keep it neat an tidy. The buildings all have blue roofs with storm clouds and lightning on them . The corners of many buildings are decorated with paining it of ornate red beards . The statue to Krimlax in the central square towers above all other building in the citadel. It’s inhabitants are polite and welcoming, but do have a cult like mentality and will try and recruit any visitors to worship Krimlax, and will not stand for any one insulting his good name . Other Thant they are well meaning and generous group of people.","The Original Map, Sepia and Coloured | The Re-Skinned Map | The Kingdom Death Monster / Cataclyzm Map","Yes, My place is public Knowledge, anyone can find it",Like a shaolin monastery but for paladins of Korda.
Breakerguard,tower/guard post | Lake/waterfall (if possible) | Ruins,An abandoned outpost built perilously into seaside cliffs. Buildings hang inaccessibly from the stone face with the only staircase destroyed by the elements long ago.,Lake / Sea | Hills/Cliffs,No response,Any of the Above,Arabian (Yellow Stone) | Abandoned/Ruins,No response,No response,"Nobody remembers the threat that this outpost was built to address. Only accessible by a perilous climb, the remains of its final inhabitants, their belongings and their collected knowledge remain untouched.","The Original Map, Sepia and Coloured | The Re-Skinned Map | The Kingdom Death Monster / Cataclyzm Map","No, My location is hidden from players, only for GMs",No response
Goldton,Sign / road marker | Tents | tower/guard post,Guard checkpoint on / next to a crossing towards some major city,Plains / Grassland,No response,"Mid Range (o.c winters, 30.c summers) | Warmer climates (10.c winters, 40.c summers) | Tropical (20.c winters, 45.c summers)",European (Grey stone) | Nomadic (horses or wheeled),No response,No response,The guards at Goldton protect one on the main trading routes that lead toward <city>.,"The Original Map, Sepia and Coloured | The Re-Skinned Map | The Kingdom Death Monster / Cataclyzm Map","Yes, My place is public Knowledge, anyone can find it",Cool idea <3!
"Eyes of steel (As in I-beams, but an unknowing cartographer spells it eye)",Other (Only choose if you have increased pledge),Railway tracks,Plains / Grassland | Desert | Coastal,"Railway tracks, wherever they will fit in :)",Any of the Above,Other (Only choose if you have increased pledge),"Stretching through desolate areas of land a wandering traveller is likely to cross these. If lost, they will guide you to a town, no guarantee if the town will be friendly or not.",No response,Eyes of steel,"The Original Map, Sepia and Coloured | The Re-Skinned Map | The Kingdom Death Monster / Cataclyzm Map | Future Maps (If you have increased your pledge)","No, My location is hidden from players, only for GMs","Thank you for doing this community project, I very much look forward to the result :)"
Gymkhana Hoonitruck,Tents | Animals | Ruins,"Nomad yert, giraffe Shepard.",Plains / Grassland,No response,"Warmer climates (10.c winters, 40.c summers)",Native (tents) | Nomadic (horses or wheeled),No response,No response,Nomadic giraffe hearder encampment.,"The Original Map, Sepia and Coloured","Yes, My place is public Knowledge, anyone can find it",No response
Oswaldia,Monolith/statue/totem | Ruins | Abandonded... <insert here>,A place that has been deserted for a long time ... and looks scary,Swamp / Mangroves | Hills/Cliffs | Mountains,No response,Any of the Above,European (Grey stone) | Aztec (Orange Stone) | Abandoned/Ruins,No response,No response,"Lasciate ogne speranza, voi ch'intrate","The Original Map, Sepia and Coloured","Yes, My place is public Knowledge, anyone can find it","I have no idea really Bannister, I was just happy to chip in! You can use as much artistic licence as you like!"
,,,,,,,,,,,,
Unnamed monolith,Monolith/statue/totem,"Broken in half, worn by time",Forest - Jungle or Rainforest,No response,No response,No response,No response,No response,"An ancient monolith, worn by time. It is unknown why it was placed here.","The Original Map, Sepia and Coloured | The Re-Skinned Map","Yes, My place is public Knowledge, anyone can find it",No response
Myrtana,Lake/waterfall (if possible) | Blacksmith | Ruins,mysterious deserted town,Lake / Sea | Mountains,No response,"Cooler Temperate Zone (minus winters, 20.c summers | Mid Range (o.c winters, 30.c summers)",Abandoned/Ruins | Nomadic (horses or wheeled),No response,No response,Mysterious abandoned place that can be used as a hiding place,"The Original Map, Sepia and Coloured | The Re-Skinned Map | The Kingdom Death Monster / Cataclyzm Map | Future Maps (If you have increased your pledge)","Yes, My place is public Knowledge, anyone can find it",No response
Labyrinth of Mazz,Abandonded... <insert here>,"An abandoned maze, keeping the unwelcome from a passageway to...",Plains / Grassland | Taiga / Steppe | Forest - Boreal or Temperate | Forest - Jungle or Rainforest | Swamp / Mangroves | Desert | Hills/Cliffs,Can be in any terrain,Any of the Above,Abandoned/Ruins,No response,No response,"Before levitation, the labyrinth kept the uninitiated from reaching the centre, and thus away from the passageway to beyond. The labyrinth is crumbling and no path remains to the centre. Or is that on purpose?","The Original Map, Sepia and Coloured | The Re-Skinned Map | The Kingdom Death Monster / Cataclyzm Map","Yes, My place is public Knowledge, anyone can find it","Whatever you think works best for this idea, really. Just some random idea :)"
Ring of the Watchers,Monolith/statue/totem | Lake/waterfall (if possible) | Dungeon Entrance/Exit,"On a scrubby plain of tall grass and near a placid, deep lake, a ring of 5 standing stones rudely carved to resemble cyclopes stands watch over a massive stone door embedded into the earth",Plains / Grassland,No response,"Mid Range (o.c winters, 30.c summers)",Nomadic (horses or wheeled),"Each stone 'Watcher' is covered with faint, weathered runes. If these could be translated, they might give an explorer a hint as to where to locate the Watcher's missing eye",No response,"(Paragraph 1) No one is sure who carved the 'Watchers' or built the stone door, and no one knows what is beneath it--though rumors tell of an ancient, fallen kingdon of cyclops sorcerors, and a great underground labyrinth leading to untold wealth. The standing stones of the Ring are dominated by the cyclopean 'eye sockets' that are carved deeply into each one. (Paragraph 2) No one has ever been able to open the great stone portal; it seems to be proof against all magic and physical efforts to open it, and the surrounding earth resists being dug into, reappearing as quickly as it is shoveled out. Legend has it that if the great gems that used to sit inside of each of the eyes were gathered and restored to their rightful places, the door will open...","The Original Map, Sepia and Coloured | The Re-Skinned Map | The Kingdom Death Monster / Cataclyzm Map","Yes, My place is public Knowledge, anyone can find it",Keep up the good work--I'm excited to see how this turns out!
Fragments of the Damned,surround with trees | Temple | Ruins,"Ancient ruined city surrounding an overgrown temple that is aged, but still standing.",Forest - Boreal or Temperate | Forest - Jungle or Rainforest,No response,"Mid Range (o.c winters, 30.c summers) | Warmer climates (10.c winters, 40.c summers) | Tropical (20.c winters, 45.c summers)",Aztec (Orange Stone) | Abandoned/Ruins,"Abandoned Aztec style pyramid temple overgrown with vines/moss (maybe some columns around the entrance). Surrounded by a ruined city (crumbled stone walls. very few, if any, structures still standing)",No response,"Nobody know what happened to the original inhabitants of this ruined city. Nobody even know who they may have been. Of those brave enough to investigate, very, very few ever return.","The Original Map, Sepia and Coloured | The Re-Skinned Map | The Kingdom Death Monster / Cataclyzm Map","No, My location is hidden from players, only for GMs",No response
Font of Stars,Monolith/statue/totem | Temple | Abandonded... <insert here>,"An outdoor ""temple"" built from white alabaster stone in the middle of nowhere, its not hidden its just in a ""why is this here"" kind of place. It is a large circular platform that is level with the rest of the terrain. There are 24 pillars surrounding a large central ""well"" of perfectly still water. The well is flush with the floor and just a hole filled with water. The pillars are flawless and smooth and arranged in 3 rings of 6,6 and 12, with 12 being the outer most ring. 10 of the pillars in the outer ring are damaged or fallen over, 4 of the pillars in the inner ring are damaged in some way and only one of the pillars in the inner ring is damaged. There are no markings, symbols or tool marks. There are no walls or roof, just a flat plane, a hole filled with water, and the pillars. The site is strewn with rubble from the damaged pillars. The purpose of the well is to reflect the night sky.",Plains / Grassland | Taiga / Steppe | Forest - Boreal or Temperate | Desert | Coastal | Lake / Sea | Hills/Cliffs,No response,Any of the Above,European (Grey stone) | Abandoned/Ruins,"In my mind the site looks out of place in comparison to other structures in the area and almost alien in how perfect everything was. No one knows who built it, or when it was built. It has kind of always been there.",No response,"In the dark of the night, when the sun cannot shine, and daylight fails to find you. In the dark of the night, when the moon dances across the sky, and moonlight cannot always reach you. In the dark of the night, when daylight fades and moonlight wanes, the stars shine ever bright, and their light will always be there for you. Once a month in the absence of the moon, when stars shine brightest. The darkness of night their light shall consume, as the stars themselves descend upon mortal lands. --Unknown Scholar","The Original Map, Sepia and Coloured | The Re-Skinned Map | The Kingdom Death Monster / Cataclyzm Map","Yes, My place is public Knowledge, anyone can find it",The single line text box is kind of awkward to type into as it feels like everything i write is on massive run on sentence. Also its hard to go back and double check what i wrote earlier.
Devilsclaw,tower/guard post,A black monolithic tower that looks like the claw of a gigantic demon reaching out of the earth.,Forest - Boreal or Temperate | Mountains,No response,"Arctic or Arctic Fringes ( minus winters, 0-5.c summers | Cooler Temperate Zone (minus winters, 20.c summers | Mid Range (o.c winters, 30.c summers)",European (Grey stone),this tower has been summoned by some powerful Wizard in the past. It is made of one single piece of black obsidian like stone.,No response,A black monolithic tower that looks like the claw of a gigantic demon reaching out of the earth. This tower has been summoned by some powerful Wizard in the past. It is made of one single piece of black obsidian like stone.,"The Original Map, Sepia and Coloured | The Re-Skinned Map | The Kingdom Death Monster / Cataclyzm Map | Future Maps (If you have increased your pledge)","Yes, My place is public Knowledge, anyone can find it","Thans for doing this, high potential for severe awesomeness!"
The Hermit Mage Tower,tower/guard post | surround with trees | Dungeon Entrance/Exit,A wizard's tower that is isolated due to being in such a remote and dangerous locale. When approached there is no visible trail to the tower as Mylar travels via magic and picked this spot to be left alone. Thus there needs to be no access by normal means.,Mountains,No response,"Cooler Temperate Zone (minus winters, 20.c summers",European (Grey stone),a simple round tower with crenelated top surrounding the very top floor so Mylar can walk out of his library and look out over creation and smoke his pipe,No response,"The tower is the home for Mylar the Hermit Mage. Mylar prefers to live alone with his companion ""Sam"". Mylar was a famous adventurer at one time. He retired when his company of explorers defeated an ancient red dragon. Some say they broke up in angst, some say they found wealth beyond imagination. What Mylar studies is unknown, he seems benign to some and to others he is whispered to do many foul things. His companion Sam is said to be a little goblin or a large blue monster (think Ogre Magi) or a multitude of other creatures. As with anything unknown the stories that are passed around are legion and just as varied. Some say the tower is the an entrance to a hidden warren of dwarves ruins filled with gold and other riches from the ground. Others say there is a hidden dungeon where an evil cult once flourished until Mylar deafened them with his powerful magics. in near by towns and villages, Mylar is seen as a tall, skeletal man who shows up to purchase supplies from time to time, He never uses his name and plays off that he is a herder of sheep in the mountains. Mylar loves to read and travels to larger cities to seek out and purchase tomes of all sorts. Thus there is also rumored to be a large library in his abode. Mylar is a very high level wizard that truly just wants to be alone. He is overly tall at seven and one half feet and so thin to look skeletal. He will try to dissuade anyone that shows up at his doorstep up to defending his home with deadly force. His companion is also fiercely loyal and will use all his abilities as an Ogre Magi to defend Mylar. The tower and abandoned mine under the tower are laced with magical and non magical traps in case someone does make it into the tower. Mylar will be relentless in his defense and if defeated will not rest until he has recovered his home and possessions . The tower is in good repair , while the vegetation surrounding it is over grown more to lack of interest than anything. Mylar prefers the fresh crisp air from his tower top to the shadows of the ground. I hope this all is coherent and please edit as you see fit.","The Original Map, Sepia and Coloured | The Re-Skinned Map | The Kingdom Death Monster / Cataclyzm Map | Future Maps (If you have increased your pledge)","No, My location is hidden from players, only for GMs",This is such a sweet campaign. Thank You!
Lohn Ruins,Ruins,weathered mound with battered ruins,Forest - Boreal or Temperate,No response,"Cooler Temperate Zone (minus winters, 20.c summers | Mid Range (o.c winters, 30.c summers) | Warmer climates (10.c winters, 40.c summers)",Abandoned/Ruins,No response,No response,"a large weathered mound, set deep in the woods, and surrounded by battered stone ruins spattered with mutliple stains of varied colours speaks of sinister rituals and dark practices.","The Original Map, Sepia and Coloured","No, My location is hidden from players, only for GMs",No response
Wayside shrine,Sign / road marker | Abandonded... <insert here>,"Nestled in a sharp bend in the road, a small stone slab is set into the ground, supporting a short square-ish stone column with the symbol of a local travel deity gouged into the top. Facing the road, small bouquets of wildflowers are laid on the slab nestled against the column, with rocks to weight them against the wind. Some small bushes shelter from the wind close behind the column.",Plains / Grassland | Taiga / Steppe | Desert | Hills/Cliffs,No response,Any of the Above,Native (tents) | Nomadic (horses or wheeled),No response,No response,"[cont'd from #4] The slab is no more than 2 feet square, and the column less than a foot across and 2 feet tall, rounded at the top. Other than the holy symbol carved into the top, the slab and column both appear completely smooth. But parting the bushes and examining the leeward side of the column reveals the remains of ancient relief carvings, apparently depicting a great battle. Though the details are lost to erosion, the costumes of the combatants and the style of the carving both appear unfamiliar to the area.","The Original Map, Sepia and Coloured | The Re-Skinned Map | The Kingdom Death Monster / Cataclyzm Map","Yes, My place is public Knowledge, anyone can find it",No response
Ruins to Frangiir,Monolith/statue/totem | Temple | Ruins,Old religious temple which was well know but now fallen to dosrepair,Taiga / Steppe,No response,"Cooler Temperate Zone (minus winters, 20.c summers",Abandoned/Ruins | Native (tents),At the centre of the temple there was a statue to their god but the head has been removed,No response,"This temple was to the minor god Frangiir, until it was destroyed. Some acolytes still visit from time to time while others say that the god sometimes makes an appearance in the guise of an old man or child just to let adventurers know who he was in the endeavor to not be forgotten in the realm of man","The Original Map, Sepia and Coloured | The Re-Skinned Map","Yes, My place is public Knowledge, anyone can find it",There is a mass grave nearby from 50 years ago from when the temple was first attacked.
The Primevil Forest,Monolith/statue/totem | Lake/waterfall (if possible) | surround with trees | Animals | Ruins | Dungeon Entrance/Exit,"My concept for this was a huge, old-growth forest blocking the growth of a largish city.",Forest - Boreal or Temperate,No response,"Mid Range (o.c winters, 30.c summers)",Native (tents),No response,No response,"A huge ancient forest which few dare enter and from which fewer return. While some have tried and failed to settle it, the only group that has been able to survive long-term are a reclusive Druid clan banished from civilization.","The Original Map, Sepia and Coloured | The Re-Skinned Map","Yes, My place is public Knowledge, anyone can find it",No response
Abandoned Ransacked Cottage,surround with trees | Abandonded... <insert here>,An abandoned cottage far from civilization in the middle of a forest that has clearly been ransacked.,Forest - Boreal or Temperate | Forest - Jungle or Rainforest,No response,"Cooler Temperate Zone (minus winters, 20.c summers | Mid Range (o.c winters, 30.c summers) | Warmer climates (10.c winters, 40.c summers)",European (Grey stone) | Abandoned/Ruins,"The building is mostly intact, except for most of the windows being broken as well as the front door being broken off its hinges. Maybe some items strewn about the outside?",No response,"A cottage that has clearly been ransacked by an unknown, possibly long gone raiding party. The cottage is composed of two rooms, a main living area and a bedroom. The only entrance into the cottage is from the living area. In the bedroom, one can see a locked sturdy trap door by the bed that is mostly concealed by a rug. The contents of of what lies beneath is unknown. Perhaps a key is somewhere nearby.","The Original Map, Sepia and Coloured | The Re-Skinned Map | The Kingdom Death Monster / Cataclyzm Map","No, My location is hidden from players, only for GMs",No response
Savvan,Lake/waterfall (if possible) | Temple | Ruins,This forgotten temple to a defeated god is carved into the frigid cliff face beside a frozen waterfall.,Hills/Cliffs | Mountains,No response,"Arctic or Arctic Fringes ( minus winters, 0-5.c summers",Aztec (Orange Stone) | Abandoned/Ruins,The temple and the terrain is desolate and harsh,No response,This forgotten temple to a defeated god is carved into the frigid cliff face beside a frozen waterfall.,"The Original Map, Sepia and Coloured","Yes, My place is public Knowledge, anyone can find it",No response
Yendis Hollow,Lake/waterfall (if possible) | surround with trees | Dungeon Entrance/Exit,"At first glance, a thick forest, however everything appears to have been magically frozen. Ice and bitter cold have taken hold perhaps a dragon lies in the midst here.",Forest - Jungle or Rainforest | Swamp / Mangroves,No response,"Mid Range (o.c winters, 30.c summers) | Warmer climates (10.c winters, 40.c summers) | Tropical (20.c winters, 45.c summers)",Aztec (Orange Stone) | Abandoned/Ruins | Native (tents) | Nomadic (horses or wheeled),No response,No response,"As you approach this wooded area, the warmth you have become accustomed to drops rapidly. Trees appear healthy but frozen solid. Suddenly a fear has risen inside you as it becomes clear that in this place lay something powerful, magical, and frigid.","The Original Map, Sepia and Coloured | The Re-Skinned Map | The Kingdom Death Monster / Cataclyzm Map","No, My location is hidden from players, only for GMs",No response
Floating ruins,Ruins,The ruins of a castle on a floating Island,Other (Only choose if you have increased pledge),Floating Island,Any of the Above,European (Grey stone) | Asian (White Stone),No response,No response,"The lord of the castle was a talented alchemist, but something goes wrong","The Original Map, Sepia and Coloured | The Re-Skinned Map | The Kingdom Death Monster / Cataclyzm Map | Future Maps (If you have increased your pledge)","Yes, My place is public Knowledge, anyone can find it","i think is better if There isn't only a big floating Island, but a acipelag of little Island Where can be find the ruins"
Nykkenbrunnr,Monolith/statue/totem | Hole in the ground | Ruins,A delapidated well with the likeness of an ancient water god carved into the stone.,Forest - Boreal or Temperate | Lake / Sea,No response,"Arctic or Arctic Fringes ( minus winters, 0-5.c summers | Cooler Temperate Zone (minus winters, 20.c summers | Mid Range (o.c winters, 30.c summers)",European (Grey stone) | Abandoned/Ruins,No response,No response,A well that appears to be an abandoned shrine to some ancient god.,"The Original Map, Sepia and Coloured | The Re-Skinned Map | The Kingdom Death Monster / Cataclyzm Map","Yes, My place is public Knowledge, anyone can find it",No response
,,,,,,,,,,,,
Anon,Village size+1 | Monolith/statue/totem | Hole in the ground | Lake/waterfall (if possible) | Blacksmith | Ruins | Dungeon Entrance/Exit,"medieval, a little snowy",Plains / Grassland | Taiga / Steppe | Mountains,No response,"Cooler Temperate Zone (minus winters, 20.c summers",European (Grey stone),No response,No response,"Anon, Heart of ""Kingdom Astrict"".","The Original Map, Sepia and Coloured","Yes, My place is public Knowledge, anyone can find it",No response
Pip’s Forge,Lake/waterfall (if possible) | surround with trees | Blacksmith,"Family run smithy and forge, ideally with waterwheel or similar.",Plains / Grassland | Taiga / Steppe | Forest - Boreal or Temperate,No response,"Cooler Temperate Zone (minus winters, 20.c summers | Mid Range (o.c winters, 30.c summers)",European (Grey stone),No response,No response,Family run for generations. Make tools and mechanical device (pumps etc...). No weapons.,"The Original Map, Sepia and Coloured | The Re-Skinned Map","Yes, My place is public Knowledge, anyone can find it",Sorry for being so slow at getting back to you!
The Temple of the Bitter Gods,Temple,Temple of the Bitter Gods,Swamp / Mangroves,No response,"Mid Range (o.c winters, 30.c summers)",Abandoned/Ruins,No response,No response,Temple of the Bitter Gods - Once worshipped widely these gods are casualties of a war of untold scale and are now a shadow of their former selves,"The Original Map, Sepia and Coloured","No, My location is hidden from players, only for GMs",No response
Old Greyburne Manor,tower/guard post | Ruins | Dungeon Entrance/Exit,Old forgotten Manor/Estate that the forest has reclaimed,Forest - Boreal or Temperate | Hills/Cliffs,No response,"Warmer climates (10.c winters, 40.c summers)",European (Grey stone) | Abandoned/Ruins,No response,No response,Old Greyburne Manor was abandoned after hostilities with warring bandits forced it's Baronet to leave in favour of more secure establishment. Over the last 40 years the forest has reclaimed it and the surrounding lands.,"The Original Map, Sepia and Coloured","No, My location is hidden from players, only for GMs",No response
Rickety Tower,tower/guard post | surround with trees | Fields,"Rickety wooden tower (30' base x 30' tall) with 8 slotted windows on the top floor, no door, in the middle of an open field surrounded by forest.",Forest - Boreal or Temperate,No response,"Mid Range (o.c winters, 30.c summers)",No response,No response,No response,"Rickety Tower (a wooden tower with no door, 8 arrow slots on the top floor, in the middle of a field, inhabited by Kobolds, casts a long shadow to the edge of the surrounding forest when the sun is low on the horizon)","The Original Map, Sepia and Coloured | The Re-Skinned Map","No, My location is hidden from players, only for GMs",Thanks!
